dir,common,corpus,blog,com_count
0,"['ich', 'euch', 'werde', 'es', 'gedichte', 'texten', 'schließen', 'derzeit']","['lylo', 'autorenexemplare']","['jahren', 'wieder']",8
1,"['unterhaltung', 'texte', 'gute', 'stimme', 'gesicht', 'kombination', 'buchpräsentation', 'wünsche']","['lylo', 'abgelegt']","['wer', 'aug']",8
3,"['inhalte', 'werden', 'verlinkten', 'kommerzielle', 'internetseiten', 'blog']","['lylo', 'lyriclove', 'werbelinks', 'nichtgewerbliche']","['autoren', 'links', 'seiten', 'für']",6
10,"['off', 'texte', 'neuen', 'jan', 'für', 'meine', 'lyric', 'abgelegt']","['lylo', 'in']",[],8
12,"['ich', 'auch', 'und', 'du', 'liebe']","['dir', 'apr', 'dich', 'lylo', 'grüße']","['aber', 'nicht', 'immer', 'werde', 'für']",5
14,"['beiträge', 'mund', 'lust', 'neuere', 'ältere', 'okt', 'lyric', 'abgelegt']","['lylo', 'in']","['von', 'zu']",8
18,"['mutterweib', 'auflage', 'softcover', 'romans', 'lesung', 'klappen', 'anlässlich', 'trailer', 'isbn']",['video'],['zweite'],9
20,"['und', 'die', 'ich', 'der', 'wir', 'meiner', 'liebe', 'du']","['in', 'dir']","['den', 'will']",8
22,"['beiträge', 'neuere', 'ältere']",[],[],3
23,"['findet', 'ihr', 'hier', 'wieder', 'mich']",[],[],5
24,"['xm', 'verfassen', 'kommentare', 'kommentar', 'dez', 'lyric', 'abgelegt', 'nov']","['lylo', 'in']",[],8
26,"['hardcover', 'seiten', 'weihnachtsgeschenke', 'weihnachtsbuch', 'unterlegten', 'textproben', 'sucher', 'seitenansichten', 'illustrationen']",['trailer'],['luxus'],9
29,"['weltkindertag', 'rainier', 'missbrauch', 'kindermisshandlung', 'kinderarmut', 'gemeinsames', 'cavalier', 'motto']","['bedanke', 'bitter']","['verfügung', 'projekt']",8
33,"['videos', 'beiträge', 'selbstgebastelt', 'video', 'erstes', 'neuere', 'ältere', 'jun', 'lyric', 'abgelegt']",[],[],10
34,"['videos', 'selbstgebastelt', 'video', 'erstes', 'jun', 'lyric', 'abgelegt', 'mein']","['lylo', 'in']",[],8
37,"['zeitgründen', 'traue', 'pod', 'monatelanger', 'lyrikpause', 'launischen', 'veröffentliche']","['muse', 'mich', 'ich']","['eingestellt', 'fing', 'sehr']",7
40,"['wintersonne', 'bitter', 'wrang', 'schweiße', 'lau', 'erkämpfen', 'bleiche']","['lyric', 'lylo', 'abgelegt']","['kochte', 'bohrte', 'blass']",7
41,"['warte', 'elsa', 'sternenklarer', 'morgenfeuchte', 'mittagsschwüle', 'frühlingserwachens']","['lylo', 'mrz', 'petros', 'ekstasen']","['jahre', 'war', 'wohl', 'wehmütig']",6
43,"['ich', 'und', 'den', 'euch', 'scheitel', 'letter']","['lylo', 'lyric', 'spurenweise', 'bilderlosen']","['nur', 'wenig', 'sich', 'zeit']",6
44,"['gnade', 'auch', 'ich', 'für', 'und']","['liebe', 'lylo', 'demut', 'gruß', 'in']","['man', 'ist', 'nicht', 'zu', 'aber']",5
47,"['aus', 'liebe', 'webt', 'umschwingt', 'umschlingt']","['lyric', 'lylo', 'love', 'abgelegt', 'flutet']","['dieses', 'glück', 'äther', 'demut', 'wilde']",5
48,"['ich', 'und', 'bon', 'das', 'weinberge']","['liebe', 'lylo', 'gratwanderung', 'weinbergen', 'die']","['ständig', 'aber', 'es', 'auch', 'schreiben']",5
