dir,common,corpus,blog,com_count
41,"['sabine', 'gedicht', 'stille', 'palmengarten', 'nachgestellt']","['übersiehst', 'staubtrockene', 'gehegen', 'willenlos', 'zahm']","['gedanken', 'handke', 'goethe', 'frankfurter', 'uns']",5
42,"['angst', 'allein', 'habe', 'ich', 'der', 'rucksack', 'beckham', 'brot', 'gedicht']",['ihr'],['die'],9
43,"['gut', 'katzen', 'ich', 'sehr', 'war', 'der', 'er', 'horn']","['gedicht', 'einhorn']","['den', 'es']",8
44,"['eichhörnchenteile', 'verweile', 'ich', 'besen', 'voller', 'frühling', 'komm', 'lieber']","['gedicht', 'oh']","['wohnung', 'die']",8
45,"['weiterlesen', 'elche', 'sie', 'papst', 'ich']","['schabe', 'primel', 'machete', 'hechte', 'kolibri']","['und', 'auf', 'der', 'er', 'ohren']",5
46,"['die', 'ich', 'und', 'holz', 'für', 'cha']","['weiterlesen', 'fitness', 'massage', 'euch']","['mir', 'tanzt', 'mit', 'sport']",6
47,"['chef', 'ich', 'faktor', 'wochen', 'kindesvater', 'arbeitsaufkommens', 'und', 'wegen']","['hohen', 'mir']","['des', 'also']",8
48,"['frisch', 'infos', 'kalinas', 'täglich', 'tisch', 'gedichte', 'zurück', 'zu', 'auf', 'den']",[],[],10
49,"['wein', 'sie', 'gedicht', 'da', 'tropfen', 'laß', 'stumm']","['atom', 'zabaionefarbene', 'spiralnebeliger']","['und', 'ich', 'warten']",7
51,"['sonne', 'noch', 'als', 'versteckte', 'lichterloh', 'reckte', 'brannte', 'schlaf', 'fiel']",['gedicht'],['licht'],9
52,"['tage', 'webten', 'verweht', 'stiefeln', 'stapfst', 'schwebten', 'schnüren', 'fußabdruck']","['antwortgeber', 'dürren']","['durch', 'fetten']",8
53,"['tage', 'webten', 'verweht', 'stiefeln', 'stapfst', 'schwebten', 'schnüren', 'fußabdruck']","['antwortgeber', 'dürren']","['durch', 'fetten']",8
54,"['kleines', 'schweigen', 'dein', 'spaziergang', 'möwengeschnatter', 'streift', 'fliegt', 'davon', 'kurz']",['mich'],['nur'],9
55,"['verweilen', 'versiegelt', 'stoppt', 'kuß', 'im', 'die', 'lippen', 'gedanken', 'fluß']",['kuss'],['jetzt'],9
57,"['und', 'nichts', 'hab', 'trunken', 'stürmischer']","['entkeimt', 'abgrunds', 'andren', 'vollbracht', 'drunter']","['aus', 'sorgsam', 'rande', 'nachher', 'geweint']",5
58,"['und', 'spaziergang', 'die', 'im', 'der', 'verweilen', 'gedicht', 'einst']","['möwengeschnatter', 'entkeimt']","['nichts', 'sonne']",8
59,"['und', 'weiterlesen', 'der', 'mund', 'nacht', 'schweigen']","['andren', 'sacht', 'verweilen', 'laß']","['ist', 'ich', 'in', 'mein']",6
63,"['herbstgedicht', 'ein', 'bereiten', 'unheimlich', 'unbedingt', 'anderes', 'einziges', 'freude']","['bitte', 'gerne']","['möchte', 'schreiben']",8
65,"['sie', 'herum', 'prächtiger', 'kelch', 'berührte', 'ward', 'sassen']","['schranken', 'sacht', 'stumm']","['trank', 'sämtliche', 'fielen']",7
66,"['vielgestalt', 'quellen', 'fliesst', 'dichters', 'prinzipiell', 'versiegen']","['andren', 'stehn', 'reim', 'fällen']","['alle', 'rum', 'blatt', 'gegend']",6
67,"['weiterführt', 'hesse', 'gehenals', 'abgeschossen']","['gedicht', 'häng', 'lin', 'fernöstlichen', 'ka', 'weisheiten']","['stehen', 'zu', 'gefährlich', 'dauernd', 'schön', 'wieso']",4
68,"['warten', 'wollte', 'ich', 'da', 'überarbeite', 'spontane', 'eventeull']","['atom', 'kenn', 'einfällt']","['version', 'gutes', 'erste']",7
69,"['zabaionefarbene', 'verschluckt', 'süßem', 'spiralnebeliger', 'filetiert', 'mund', 'schweigen', 'worte']","['geatmet', 'geflüstert']","['in', 'serviert']",8
70,"['laß', 'speise', 'deine', 'mich', 'sein', 'wein', 'adern', 'fliessen', 'tropfen']",['werd'],['blut'],9
71,"['mein', 'bist', 'du', 'wund', 'umgibst', 'leuchtender', 'stern']","['sacht', 'küsst', 'glanz']","['gehören', 'ufer', 'grund']",7
72,"['dich', 'variiert', 'vögel', 'flüstert']","['tropft', 'seh', 'inhalt', 'einst', 'sehnsucht', 'singen']","['papier', 'musik', 'film', 'überall', 'geschichten', 'name']",4
74,"['gülden', 'gestillt', 'manch', 'wort', 'fort', 'bleibt', 'so', 'ist', 'es', 'sie']",[],[],10
76,"['urplötzlichen', 'supi', 'rechner', 'nachzuschauen', 'folgend', 'erbracht', 'eingebung', 'lebenszeichen']","['raste', 'ward']","['siehe', 'beweis']",8
77,"['astronauten', 'und', 'ich', 'wohlauf', 'montgomery', 'sehr', 'mal']","['araltankstelle', 'atom', 'sie']","['haben', 'ja', 'ihnen']",7
78,"['araltankstelle', 'ufo', 'bescheid', 'wusste', 'schlaf', 'gebracht', 'gedacht', 'anfang']","['nacht', 'sei']","['hätte', 'natürlich']",8
79,"['carolin', 'nr', 'sabine', 'annette', 'wiglaf', 'untermalung']","['häkelanleitung', 'fochard', 'fino', 'gedicht']","['und', 'wurde', 'öffentlich', 'zeichnungen']",6
80,['welt'],"['wür', 'verschanzung', 'hobbyastronaut', 'bessren', 'xabraxas', 'expeditionen', 'aniston', 'beherzter', 'postmoderner']","['dürfen', 'ob', 'oder', 'gut', 'einer', 'frage', 'wahrheit', 'mal', 'eine']",1
81,"['und', 'seit', 'tagen', 'weichgespült', 'lache', 'kreucht', 'fleucht', 'gewirkt', 'seelensalbe']",['schranken'],['verteilt'],9
82,"['spürte', 'plötzlich', 'mag', 'diesem', 'ich', 'dich', 'tag', 'sehr', 'als']",['an'],['wie'],9
83,"['drohen', 'wir', 'juni', 'rand', 'liebe', 'fallen', 'eins', 'allem']","['archiv', 'gedicht']","['welt', 'den']",8
84,"['schorsch', 'ich', 'dir']","['kalina', 'scahde', 'randers', 'iĉh', 'gegehen', 'dichhtern', 'demmler']","['für', 'gesagt', 'nie', 'fuß', 'schreiben', 'mich', 'das']",3
85,"['chapeau', 'wortlosist', 'wortbad', 'unerreichter', 'traumwo', 'poetizität', 'nachtim']","['geistam', 'badetunser', 'abendallein']","['zugleich', 'traumstille', 'reinigenden']",7
86,"['jäger', 'klingt', 'horn', 'leise', 'garten', 'hört', 'zwergenklein']","['blästs', 'pirscht', 'eingesät']","['und', 'ihn', 'zielt']",7
87,"['evtl', 'liest', 'irgendwas', 'wilber']","['gangaji', 'überrraschungsgast', 'anmeldefrist', 'heribert', 'teilnehmerliste', 'hurrikans']","['ich', 'oder', 'immer', 'macht', 'spannenden', 'ken']",4
88,"['frau', 'der', 'und', 'kalinas', 'wg', 'rautenschaum', 'anarchie']","['kalina', 'lesesalon', 'häppchen']","['von', 'las', 'die']",7
89,"['zurück', 'tortenreich', 'torte', 'rückwärtszauber', 'pforte', 'lieblingssorte', 'einzig', 'verschwand', 'rief', 'orte']",[],[],10
90,"['quelle', 'planetenkonstellation', 'konzentration', 'kontrollieren', 'inspiration', 'gewisse', 'werds', 'tageszeit', 'zack']",['ritterbach'],['atem'],9
91,"['lange', 'verhüllt', 'süsse', 'busen', 'verlorn', 'schick']","['füsse', 'bloss', 'ichs', 'po']","['macht', 'kleid', 'dick', 'darin']",6
92,"['fahrradfahren', 'fahren', 'jahren', 'weiterfahren', 'schnurgerade', 'schlangenlinien', 'offenen', 'haaren', 'freihändig', 'nach']",[],[],10
93,"['wer', 'stil', 'poststempel', 'experimentiere', 'erbeten', 'kommt', 'schroff', 'anmeldung', 'zählt']",['couch'],['rote'],9
94,"['ewigkeit', 'raum', 'schlüpfst', 'körperkleid', 'erden', 'leuchten', 'kurze', 'und', 'aus']",['zu'],['werden'],9
95,"['kammern', 'fensterlosen', 'definieren', 'deren', 'ziel', 'sehnsucht', 'wäre', 'noch', 'zu', 'in']",[],[],10
96,"['küsst', 'küssen', 'thema', 'je', 'lieblingspflanze']","['küssgemeinschaften', 'fliederblüte', 'frühlingshafte', 'frühlingszeit', 'frönen']","['es', 'ist', 'zum', 'wer', 'partner']",5
97,"['ich', 'die', 'und', 'es', 'er']","['kalina', 'weiterlesen', 'eure', 'pizzamann', 'ihr']","['ist', 'mit', 'mich', 'sie', 'nicht']",5
98,"['küsst', 'schön', 'schwanz', 'hörnchwelt', 'eichhornmann', 'eichhornfrau', 'weitergehn', 'ohr', 'er']",['voll'],['müssen'],9
99,"['küssen', 'sehnen', 'und', 'sitzen', 'vermiesen', 'streben', 'frühlingswiesen', 'frühlingsbänken', 'verschenken', 'nimmer']",[],[],10
100,"['weiterlesen', 'tunki', 'soppen', 'sonc']","['sacci', 'rümmer', 'pöcki', 'pinki', 'onki', 'möcki']","['herum', 'man', 'du', 'vorsicht', 'umgebracht', 'tiefer']",4
101,"['türen', 'hinter', 'verschlossenen', 'erlösung', 'mauern', 'sie', 'angst', 'schliessen', 'lauern']",['verharren'],['bauen'],9
102,"['es', 'sie', 'kurz', 'will', 'vertreiben', 'verschwindets', 'substanz', 'flüchtiger', 'aufgetaucht']",['dichterin'],['erneut'],9
103,"['zofen', 'rühr', 'räusper', 'reitergilde']","['gruße', 'huldvoll', 'kappen', 'hopp', 'kostbar', 'kleiden']","['blick', 'sie', 'ich', 'wärmen', 'senken', 'schuh']",4
104,"['pumps', 'her', 'kommt', 'auftritt', 'oh', 'wo', 'gott', 'hackenschuh']","['sünderinnen', 'knappe']","['der', 'heran']",8
105,"['frühling', 'eich', 'eichhorn', 'schau', 'schmeiß', 'naht']","['hornt', 'blumensaat', 'beet', 'horn']","['und', 'mal', 'ich', 'schwankt']",6
107,"['simmer', 'prihima', 'dobei', 'dat', 'ultimative', 'impossible', 'hühnchenfilm', 'chicken', 'filme']",['kategorie'],['is'],9
108,"['starwars', 'sonderbare', 'schlundes', 'scharfen', 'fleischfressenden', 'dreigeteilt', 'dienen']","['abart', 'kalina', 'heisst']","['wozu', 'serie', 'sechs']",7
109,"['säen', 'hoffnung', 'furchen', 'frühlingskinder', 'frühlingsgestalten', 'zarten', 'älter', 'voran']","['orten', 'taten']","['spiel', 'schnee']",8
110,"['wehschon', 'verrücktwiderstand', 'teuerund', 'standein', 'spagatda']","['sinkenes', 'seiwie', 'rücktauf', 'nudelsalates', 'nichtdas']","['es', 'ihm', 'seit', 'tagen', 'stinkendes']",5
111,"['einschüchtern', 'tür', 'verbote', 'uralten', 'spannenderes', 'parabel', 'granatapfelgarten']","['entmündigen', 'liessen', 'aufregend']","['lassen', 'zu', 'verbot']",7
